Layers\Dim,20,50,100,150,200,250
1,280,215,210,,,
2,220,245,220,,,
5,230,195,230,225,,
10,220,215,170,155,170,175
15,,,160,160,,
20,230,180,175,160,,
30,,,160,160,,
40,,,,,,
